soc,name,min_rank,target_rank,job_zone,edu_src,diff
51-6092.00,Pembuat Pola Pakaian (Pattern Maker),5,2,3,onet_education,-3
49-9061.00,Teknisi Servis Kamera,5,2,3,onet_education,-3
49-9081.00,Teknisi Servis Turbin Angin,5,2,3,onet_education,-3
13-1032.00,Surveyor Klaim Kendaraan (Asuransi),5,2,3,onet_education,-3
51-8012.00,Operator Dispatcher Distribusi Listrik,5,2,3,onet_education,-3
51-6051.00,Penjahit Tangan (Hand Sewing),2,1,2,onet_education,-1
51-6064.00,Operator Mesin Winding/Twisting Benang,2,1,2,onet_education,-1
49-3091.00,Tukang Servis Sepeda,2,1,2,onet_education,-1
25-2051.00,Guru PAUD Pendidikan Khusus,7,6,5,onet_education,-1
25-2059.01,Guru Pendidikan Jasmani Adaptif,7,6,5,onet_education,-1
25-3031.00,Guru Pengganti,6,5,4,onet_education,-1
53-7011.00,Operator Conveyor,2,1,2,onet_education,-1
13-2071.00,Konselor/Konsultan Pengelolaan Utang,6,5,4,onet_education,-1
41-3021.00,Agen Asuransi,6,5,4,onet_education,-1
41-4011.00,Technical Sales Representative,6,5,4,onet_education,-1
41-4012.00,Sales Representative,6,5,4,onet_education,-1
41-9091.00,Sales Door-to-Door,2,1,2,onet_education,-1
17-2112.01,Ahli Ergonomi (Human Factors Engineer),7,6,5,onet_education,-1
47-5011.00,Derrickman,2,1,2,onet_education,-1
47-5071.00,Roustabout,2,1,2,onet_education,-1
29-9099.01,Bidan,7,6,5,onet_education,-1
29-2011.02,Sitoteknologis,7,6,5,onet_education,-1
29-1031.00,Ahli Gizi,7,6,5,onet_education,-1
25-9044.00,Asisten Dosen,7,6,5,onet_education,-1
27-3011.00,Penyiar Radio/TV,6,5,4,onet_education,-1
51-6021.00,Operator Setrika/Press Garmen,2,1,2,onet_education,-1
51-6031.00,Operator Jahit,2,1,2,onet_education,-1
15-1211.00,IT Business Analyst,6,5,4,onet_education,-1
51-6011.00,Pekerja Laundry/Dry Cleaning,2,1,2,onet_education,-1
51-3022.00,Operator Pemotongan Daging/Unggas/Ikan,2,1,2,onet_education,-1
51-9193.00,Operator Mesin Pendingin/Freezer,2,1,2,onet_education,-1
27-3043.05,Penyair / Pencipta Lirik,6,5,4,onet_education,-1
27-3043.00,Penulis,6,5,4,onet_education,-1
15-2041.01,Biostatistician,7,7,5,onet_education,0
15-1299.08,Solutions Architect,5,5,3,onet_education,0
15-1299.07,Blockchain Developer,6,6,4,job_zone,0
17-2112.02,Insinyur Validasi,6,6,4,onet_education,0
17-2112.00,Insinyur Teknik Industri,6,6,4,onet_education,0
17-2111.02,Insinyur Proteksi Kebakaran,6,6,4,onet_education,0
17-2111.00,Insinyur K3 (HSE Engineer),6,6,4,job_zone,0
47-5051.00,Pekerja Pemecah Batu (Quarry),2,2,2,onet_education,0
47-5044.00,Operator Alat Muat Tambang Bawah Tanah,2,2,2,onet_education,0
49-3043.00,Teknisi Perawatan Gerbong Kereta Api,2,2,2,onet_education,0
49-3022.00,Teknisi Kaca Mobil,2,2,2,onet_education,0
15-2051.00,Machine Learning Engineer,6,6,4,job_zone,0
15-1299.09,IT Project Manager,6,6,4,onet_education,0
15-2041.00,Statistician,7,7,5,onet_education,0
15-2031.00,Operations Research Analyst,7,7,5,onet_education,0
43-5032.00,Dispatcher,2,2,2,onet_education,0
43-5021.00,Kurir,2,2,2,onet_education,0
43-4151.00,Admin Order,2,2,2,onet_education,0
29-2072.00,Perekam Medis dan Informasi Kesehatan,5,5,3,job_zone,0
29-2061.00,Perawat Vokasi (D3 Keperawatan),5,5,3,onet_education,0
29-2055.00,Instrumentator Bedah,5,5,3,onet_education,0
43-4051.00,Customer Service,2,2,2,onet_education,0
43-4041.00,Verifikator Kredit,2,2,2,job_zone,0
17-3026.00,Staff Industrial Engineering (IE),5,5,3,onet_education,0
51-2023.00,Operator Perakitan Elektromekanik,2,2,2,onet_education,0
51-2022.00,Operator Perakitan Elektronik,2,2,2,onet_education,0
51-2021.00,Operator Gulung Kumparan (Coil Winding),2,2,2,onet_education,0
51-4022.00,Operator Mesin Forging (Tempa),2,2,2,onet_education,0
51-4021.00,Operator Mesin Ekstrusi (Extruder),2,2,2,onet_education,0
51-3093.00,Operator Mesin Masak (Cooking),2,2,2,onet_education,0
51-3092.00,Operator Mixing/Batching Produk Pangan,2,2,2,onet_education,0
17-2131.00,Insinyur Material,6,6,4,onet_education,0
17-2121.00,Insinyur Perkapalan dan Arsitek Kapal,6,6,4,onet_education,0
17-2112.03,Insinyur Manufaktur,6,6,4,onet_education,0
17-3027.00,Teknisi Mesin (Mechanical Engineering),5,5,3,onet_education,0
43-3071.00,Teller,2,2,2,onet_education,0
17-3024.01,Teknisi Robotika,5,5,3,onet_education,0
17-2199.11,Insinyur Sistem Energi Surya (PLTS),6,6,4,onet_education,0
17-2199.10,Insinyur Energi Angin (PLTB),6,6,4,onet_education,0
15-2051.02,Clinical Data Manager,6,6,4,onet_education,0
17-2171.00,Insinyur Perminyakan,6,6,4,onet_education,0
17-2161.00,Insinyur Nuklir,6,6,4,onet_education,0
17-2151.00,Insinyur Pertambangan dan Geologi,6,6,4,onet_education,0
17-2141.02,Insinyur Otomotif,6,6,4,onet_education,0
17-2141.00,Insinyur Teknik Mesin,6,6,4,onet_education,0
15-2011.00,Aktuaris,6,6,4,onet_education,0
53-7081.00,Petugas Pengumpul Sampah dan Daur Ulang,2,2,2,onet_education,0
31-9095.00,Asisten Apotek,2,2,2,onet_education,0
31-9093.00,Petugas Sterilisasi Alat Medis,2,2,2,onet_education,0
31-2021.00,Asisten Fisioterapis,5,5,3,onet_education,0
31-1132.00,Pekarya Kesehatan,2,2,2,onet_education,0
31-1122.00,Caregiver Pendamping Pribadi,2,2,2,onet_education,0
31-1121.00,Caregiver Lansia/Homecare,2,2,2,onet_education,0
29-9093.00,Asisten Bedah,5,5,3,onet_education,0
31-9099.02,Teknisi Endoskopi,2,2,2,onet_education,0
31-9096.00,Asisten Dokter Hewan,2,2,2,onet_education,0
29-2051.00,Teknisi Gizi,5,5,3,onet_education,0
29-9092.00,Konselor Genetik,7,7,5,onet_education,0
29-1242.00,Dokter Spesialis Ortopedi dan Traumatologi,7,7,5,job_zone,0
29-9021.00,Analis Informasi Kesehatan,5,5,3,job_zone,0
29-2099.08,Petugas Layanan Pasien,5,5,3,onet_education,0
29-2099.01,Teknisi Neurodiagnostik,5,5,3,onet_education,0
29-2091.00,Ortotis Prostetis,7,7,5,onet_education,0
27-4021.00,Fotografer,5,5,3,onet_education,0
29-1127.00,Terapis Wicara,7,7,5,onet_education,0
29-1126.00,Terapis Respirasi,5,5,3,onet_education,0
29-1124.00,Radiografer Radioterapi,5,5,3,onet_education,0
29-1123.00,Fisioterapis,7,7,5,onet_education,0
29-1122.00,Terapis Okupasi,7,7,5,onet_education,0
41-3041.00,Staff Travel Agent,5,5,3,onet_education,0
41-9041.00,Telemarketing,2,2,2,onet_education,0
41-9031.00,Sales Engineer,6,6,4,onet_education,0
43-5052.00,Tukang Pos,2,2,2,onet_education,0
43-5051.00,Staff Loket Pos,2,2,2,onet_education,0
43-5041.00,Petugas Pencatat Meter,2,2,2,onet_education,0
41-1012.00,Sales Supervisor,6,6,4,onet_education,0
41-1011.00,Kepala Toko,2,2,2,onet_education,0
41-9021.00,Broker Properti,6,6,4,onet_education,0
41-9012.00,Model,2,2,2,onet_education,0
41-9011.00,SPG/SPB,2,2,2,onet_education,0
41-4011.07,Sales Solar Panel,5,5,3,onet_education,0
51-2031.00,Operator Perakitan Mesin/Engine,2,2,2,onet_education,0
41-3031.00,Sales Sekuritas / Marketing Investasi,6,6,4,onet_education,0
17-2199.08,Insinyur Robotika,6,6,4,onet_education,0
17-2199.05,Insinyur Mekatronika,6,6,4,onet_education,0
17-2199.03,Insinyur Energi,6,6,4,onet_education,0
41-3011.00,Sales Iklan,6,6,4,onet_education,0
41-2031.00,Pramuniaga,2,2,2,onet_education,0
41-2022.00,Sales Spare Part,2,2,2,onet_education,0
41-2021.00,Staff Rental,2,2,2,onet_education,0
41-2011.00,Kasir,2,2,2,onet_education,0
29-1243.00,Dokter Spesialis Bedah Anak,7,7,5,job_zone,0
13-2099.01,Analis Kuantitatif Keuangan,7,7,5,onet_education,0
13-2061.00,Pemeriksa Lembaga Keuangan,6,6,4,onet_education,0
13-2054.00,Analis Risiko Keuangan,6,6,4,job_zone,0
13-2053.00,Underwriter Asuransi,6,6,4,onet_education,0
15-1241.01,Telecommunications Engineer,5,5,3,onet_education,0
15-1241.00,Cloud Engineer,6,6,4,onet_education,0
15-1231.00,Network Support Specialist,6,6,4,onet_education,0
53-7051.00,Operator Truk/Traktor Industri,2,2,2,onet_education,0
53-7041.00,Operator Hoist dan Winch,2,2,2,onet_education,0
53-7031.00,Operator Kapal Keruk (Dredge),2,2,2,onet_education,0
11-2022.00,Sales Manager,6,6,4,onet_education,0
13-2099.04,Analis/Investigator Fraud,6,6,4,onet_education,0
15-1243.01,Data Engineer,6,6,4,onet_education,0
13-2081.00,Pemeriksa dan Juru Sita Pajak,5,5,3,onet_education,0
13-2023.00,Penilai Properti (Real Estat),6,6,4,onet_education,0
51-2011.00,Teknisi Perakitan Struktur Pesawat,2,2,2,onet_education,0
49-9044.00,Teknisi Instalasi & Pemeliharaan Mesin (Millwright),2,2,2,onet_education,0
49-3093.00,Tukang Tambal Ban,2,2,2,onet_education,0
49-3053.00,"Mekanik Mesin Kecil (Mesin Potong Rumput, Gergaji Mesin)",2,2,2,onet_education,0
51-3011.00,Pembuat Roti / Baker,2,2,2,onet_education,0
51-2092.00,Operator Perakitan (Team Assembler),2,2,2,onet_education,0
51-2051.00,Operator Laminasi Fiberglass,2,2,2,onet_education,0
51-2041.00,Fitter / Tukang Fabrikasi Logam,2,2,2,onet_education,0
15-1243.00,Database Architect,6,6,4,onet_education,0
53-7073.00,Operator Pompa Sumur (Wellhead Pumper),2,2,2,onet_education,0
53-7072.00,Operator Pompa,2,2,2,onet_education,0
53-7071.00,Operator Stasiun Kompresor Gas,2,2,2,onet_education,0
53-7065.00,Petugas Gudang dan Pemenuhan Pesanan,2,2,2,onet_education,0
53-7064.00,Pengepak Barang (Manual),2,2,2,onet_education,0
53-7063.00,Operator Pengumpan Mesin,2,2,2,onet_education,0
53-7062.04,Pekerja Daur Ulang dan Reklamasi,2,2,2,onet_education,0
53-7062.00,Buruh Angkut Barang,2,2,2,onet_education,0
53-7061.00,Pekerja Pencuci/Pembersih Kendaraan dan Alat,2,2,2,onet_education,0
11-3031.03,Manajer Investasi,7,7,5,onet_education,0
15-1299.01,Web Administrator,6,6,4,onet_education,0
51-6042.00,Operator Mesin Sepatu,2,2,2,onet_education,0
15-1299.06,Digital Forensics Analyst,6,6,4,job_zone,0
15-1299.05,Security Engineer,6,6,4,onet_education,0
15-1299.04,Penetration Tester,6,6,4,job_zone,0
15-1299.03,Document Controller,6,6,4,onet_education,0
15-1299.02,GIS Analyst,5,5,3,job_zone,0
11-2011.00,Manajer Periklanan dan Promosi,6,6,4,onet_education,0
15-1211.01,Health Informatics Specialist,7,7,5,onet_education,0
15-1254.00,Frontend Developer,5,5,3,onet_education,0
15-1251.00,Programmer,6,6,4,onet_education,0
15-1244.00,Site Reliability Engineer,6,6,4,onet_education,0
43-5061.00,Staff PPIC,2,2,2,onet_education,0
47-5023.00,Operator Bor Eksplorasi (Non-Migas),2,2,2,onet_education,0
47-5022.00,Operator Alat Berat Tambang Terbuka (Excavator/Dragline),2,2,2,onet_education,0
47-5013.00,Operator Unit Workover/Well Service,2,2,2,onet_education,0
47-5012.00,Rotary Driller,2,2,2,onet_education,0
49-3021.00,Teknisi Body Repair / Ketok Magic,2,2,2,onet_education,0
47-5081.00,Helper Pekerja Tambang/Migas,2,2,2,onet_education,0
51-4031.00,Operator Mesin Press/Potong Logam,2,2,2,onet_education,0
51-4023.00,Operator Mesin Rolling,2,2,2,onet_education,0
47-2231.00,Instalator Panel Surya (PLTS),2,2,2,onet_education,0
43-5111.00,Checker Gudang,2,2,2,onet_education,0
43-5071.00,Staff Gudang,2,2,2,onet_education,0
47-5032.00,Juru Ledak (Blaster),2,2,2,onet_education,0
43-5053.00,Staff Sortir Pos,2,2,2,onet_education,0
47-5043.00,Operator Roof Bolter (Penyangga Atap Tambang),2,2,2,onet_education,0
51-3091.00,Operator Mesin Roasting/Oven/Pengering,2,2,2,onet_education,0
51-3023.00,Operator RPH / Pemotong dan Pengemas Daging,2,2,2,onet_education,0
51-3021.00,Tukang Potong Daging / Butcher,2,2,2,onet_education,0
51-4051.00,Operator Tungku Peleburan Logam (Furnace),2,2,2,onet_education,0
51-4035.00,Operator Mesin Frais (Milling),2,2,2,onet_education,0
51-4034.00,Operator Mesin Bubut,2,2,2,onet_education,0
51-4033.00,Operator Mesin Gerinda/Poles,2,2,2,onet_education,0
51-4032.00,Operator Mesin Bor,2,2,2,onet_education,0
51-4191.00,Operator Heat Treatment,2,2,2,onet_education,0
51-6041.00,Pekerja/Tukang Sepatu dan Kulit,2,2,2,onet_education,0
51-7021.00,Tukang Finishing Furniture,2,2,2,onet_education,0
51-7011.00,Tukang Kayu / Pembuat Mebel,2,2,2,onet_education,0
51-6093.00,Tukang Jok (Upholsterer),2,2,2,onet_education,0
51-6091.00,Operator Mesin Ekstrusi Serat Sintetis,2,2,2,onet_education,0
51-6063.00,Operator Mesin Rajut/Tenun,2,2,2,onet_education,0
51-6062.00,Operator Mesin Potong Kain (Cutting),2,2,2,onet_education,0
51-5112.00,Operator Mesin Cetak,2,2,2,onet_education,0
51-4194.00,Operator Gerinda/Asah Alat,2,2,2,onet_education,0
51-4193.00,Operator Mesin Plating (Pelapisan Logam),2,2,2,onet_education,0
51-4192.00,Operator Marking/Layout Logam,2,2,2,onet_education,0
29-9091.00,Fisioterapis Olahraga,7,7,5,onet_education,0
51-4122.00,Operator Mesin Las,2,2,2,onet_education,0
51-6061.00,Operator Pencelupan & Pemutihan Tekstil (Dyeing),2,2,2,onet_education,0
51-6052.00,Penjahit / Tailor,2,2,2,onet_education,0
51-4121.00,Juru Las (Welder),2,2,2,onet_education,0
51-4081.00,Operator Multi-Mesin (CNC),2,2,2,onet_education,0
51-4072.00,Operator Mesin Molding/Injection,2,2,2,onet_education,0
51-4071.00,Operator Pembuat Cetakan Cor (Foundry),2,2,2,onet_education,0
51-4052.00,Operator Penuangan Logam Cor (Casting),2,2,2,onet_education,0
51-5113.00,Operator Jilid & Finishing Cetak,2,2,2,onet_education,0
47-5041.00,Operator Continuous Miner,2,2,2,onet_education,0
13-2041.00,Analis Kredit,6,6,4,onet_education,0
25-4013.00,Konservator Museum,6,6,4,onet_education,0
25-4012.00,Kurator,7,7,5,onet_education,0
25-4011.00,Arsiparis,7,7,5,onet_education,0
25-3041.00,Guru Les Privat,5,5,3,onet_education,0
25-1021.00,Dosen Ilmu Komputer,7,7,5,onet_education,0
13-1041.07,Spesialis Urusan Regulasi,6,6,4,onet_education,0
13-1041.00,Compliance Officer,6,6,4,job_zone,0
13-1023.00,Purchasing Officer,6,6,4,onet_education,0
13-2052.00,Perencana Keuangan,6,6,4,onet_education,0
13-2051.00,Analis Keuangan & Investasi,6,6,4,job_zone,0
25-4022.00,Pustakawan,7,7,5,onet_education,0
13-2031.00,Analis Anggaran,6,6,4,onet_education,0
51-7042.00,Operator Mesin Kayu (Woodworking),2,2,2,onet_education,0
11-9199.02,Manajer Compliance,6,6,4,onet_education,0
11-9199.01,Manajer Regulatory Affairs,6,6,4,onet_education,0
11-3071.04,Supply Chain Manager,6,6,4,onet_education,0
11-3061.00,Purchasing Manager,6,6,4,onet_education,0
13-1161.00,Marketing Specialist,6,6,4,onet_education,0
13-1081.02,Logistics Analyst,6,6,4,onet_education,0
13-1081.01,Logistics Engineer,6,6,4,onet_education,0
13-1081.00,Supply Chain Analyst,6,6,4,onet_education,0
25-1112.00,Dosen Hukum,7,7,5,onet_education,0
25-2012.00,Guru TK,6,6,4,onet_education,0
27-3091.00,Penerjemah / Juru Bahasa,6,6,4,onet_education,0
27-3042.00,Technical Writer,5,5,4,onet_education,0
25-1192.00,Dosen Tata Boga dan Kesejahteraan Keluarga,7,7,5,onet_education,0
27-3023.00,Wartawan / Jurnalis,6,6,4,job_zone,0
27-2012.05,Technical Director / Manajer Teknis Siaran,6,6,4,onet_education,0
27-2012.04,Talent Director / Casting Director,6,6,4,onet_education,0
27-2012.03,Direktur Program Media (TV/Radio),6,6,4,onet_education,0
27-4012.00,Teknisi Broadcast/Penyiaran,5,5,3,onet_education,0
27-4011.00,Teknisi Audio Video,5,5,3,onet_education,0
11-3031.01,Treasurer / Kontroler Keuangan,6,6,4,onet_education,0
25-1031.00,Dosen Arsitektur,7,7,5,onet_education,0
25-1022.00,Dosen Matematika,7,7,5,onet_education,0
19-4043.00,Teknisi Geologi,6,6,4,job_zone,0
19-4013.00,Teknisi R&D Pangan,5,5,3,onet_education,0
19-2042.00,Geosaintis,7,7,5,onet_education,0
19-1012.00,Food Technologist / Food Scientist,6,6,4,onet_education,0
17-3027.01,Teknisi Automotive Engineering,5,5,3,onet_education,0
25-1051.00,Dosen Ilmu Kebumian dan Kelautan,7,7,5,onet_education,0
25-9021.00,Penyuluh Pertanian,7,7,5,onet_education,0
25-4031.00,Pustakawan Tingkat Terampil,5,5,3,onet_education,0
51-9011.00,Operator Peralatan Proses Kimia,2,2,2,onet_education,0
51-9162.00,Programmer Mesin CNC,2,2,2,onet_education,0
51-9161.00,Operator Mesin CNC,2,2,2,onet_education,0
51-9111.00,Operator Mesin Packing/Filling,2,2,2,onet_education,0
51-9061.00,QC Inspector / Staff Sortir & Timbang,2,2,2,onet_education,0
51-9051.00,Operator Oven/Kettle/Pengering,2,2,2,onet_education,0
51-9041.00,Operator Mesin Extruding/Cetak,2,2,2,onet_education,0
51-7041.00,Operator Mesin Gergaji Kayu,2,2,2,onet_education,0
51-9023.00,Operator Mixing/Blending,2,2,2,onet_education,0
51-9021.00,Operator Mesin Giling/Crusher,2,2,2,onet_education,0
51-9012.00,Operator Mesin Filtrasi/Pemisahan,2,2,2,onet_education,0
51-9191.00,Operator Mesin Pengeleman,2,2,2,onet_education,0
51-8099.01,Teknisi Pengolahan Biofuel,2,2,2,onet_education,0
51-8093.00,Operator Kilang Minyak,2,2,2,onet_education,0
51-8092.00,Operator Kilang/Distribusi Gas,2,2,2,onet_education,0
13-2022.00,Penilai Aset Pribadi & Bisnis (Non-Properti),6,6,4,onet_education,0
13-2011.00,Akuntan / Auditor,6,6,4,job_zone,0
13-1161.01,Digital Marketing Analyst,5,5,4,onet_education,0
51-8031.00,Operator Pengolahan Air dan Air Limbah,2,2,2,onet_education,0
51-8013.04,Teknisi Pembangkit Listrik Tenaga Air (PLTA),5,5,3,onet_education,0
51-8013.03,Teknisi Pembangkit Listrik Tenaga Biomassa (PLTBm),2,2,2,onet_education,0
51-8013.00,Operator Pembangkit Listrik,2,2,2,onet_education,0
11-3051.01,Manajer QA/QC,6,6,4,onet_education,0
11-3031.00,Manajer Keuangan,6,6,4,onet_education,0
11-3021.00,Product Manager,6,6,4,onet_education,0
11-2032.00,Manajer Public Relations (PR),6,6,4,job_zone,0
13-1022.00,Buyer,5,5,3,onet_education,0
13-1021.00,Buyer Komoditas Pertanian,6,6,4,onet_education,0
13-1011.00,Manajer Artis,6,6,4,onet_education,0
11-9199.08,Manajer Loss Prevention,6,6,4,onet_education,0
25-1111.00,Dosen Hukum Pidana dan Kepolisian,7,7,5,onet_education,0
25-1072.00,Dosen Keperawatan,7,7,5,onet_education,0
25-1071.00,Dosen Ilmu Kesehatan,7,7,5,onet_education,0
27-4015.00,Penata Cahaya (Lighting Technician),5,5,3,job_zone,0
51-9192.00,Operator Mesin Pencuci/Sterilisasi (CIP),2,2,2,onet_education,0
51-9032.00,Operator Mesin Potong/Slicing,2,2,2,onet_education,0
53-6031.00,Petugas SPBU / Operator Pom Bensin,2,2,2,onet_education,0
53-3031.00,Sales Kanvas,2,2,2,onet_education,0
51-9198.00,Helper Produksi,2,2,2,onet_education,0
51-9196.00,Operator Mesin Kemasan Kertas/Karton,2,2,2,onet_education,0
51-9195.04,Peniup/Pencetak Kaca,2,2,2,onet_education,0
51-9195.00,Operator Cetak/Molding (Non-Logam/Plastik),2,2,2,job_zone,0
13-2072.00,Account Officer,6,6,4,onet_education,0
51-8091.00,Operator Pabrik Kimia,2,2,2,onet_education,0
27-2012.00,Produser dan Sutradara,6,6,4,onet_education,0
27-1021.00,Desainer Produk (Industrial Designer),6,6,4,onet_education,0
27-3041.00,Redaktur / Editor,6,6,4,onet_education,0
27-3031.00,PR Specialist / Humas,6,6,4,onet_education,0
27-1014.00,Animator / VFX Artist,6,6,4,onet_education,0
27-1013.00,Seniman Rupa (Pelukis/Pematung/Ilustrator),5,5,3,onet_education,0
27-1011.00,Art Director,6,6,4,onet_education,0
25-9043.00,Guru Pendamping Khusus (GPK),5,5,3,onet_education,0
25-9042.00,Asisten Guru,5,5,3,onet_education,0
25-9031.00,Pengembang Kurikulum,7,7,5,onet_education,0
27-1023.00,Perangkai Bunga (Florist),2,2,2,onet_education,0
27-1027.00,Desainer Set dan Panggung,7,7,5,onet_education,0
29-1212.00,Dokter Spesialis Jantung dan Pembuluh Darah,7,7,5,job_zone,0
29-1161.00,Bidan (Perawat Kebidanan),7,7,5,onet_education,0
29-1141.04,Perawat Klinis Spesialis,7,7,5,onet_education,0
29-1141.03,Perawat Kritis,6,6,4,onet_education,0
29-1141.02,Perawat Spesialis Jiwa,7,7,5,onet_education,0
29-1141.01,Perawat Perawatan Akut,6,6,4,onet_education,0
29-1141.00,Perawat,6,6,4,onet_education,0
29-1129.02,Terapis Musik,6,6,4,onet_education,0
29-2033.00,Radiografer Kedokteran Nuklir,5,5,3,onet_education,0
29-2031.00,Teknisi Kardiovaskular,5,5,3,onet_education,0
27-4032.00,Video Editor,6,6,4,onet_education,0
27-4031.00,Juru Kamera (Camera Person),5,5,3,onet_education,0
29-1291.00,Akupunkturis,7,7,5,onet_education,0
29-2043.00,Paramedis,5,5,3,job_zone,0
29-2042.00,Petugas Gawat Darurat,5,5,3,job_zone,0
29-2036.00,Fisikawan Medik (Dosimetri Radioterapi),6,6,4,onet_education,0
29-2035.00,Radiografer MRI,5,5,3,onet_education,0
29-2034.00,Radiografer,5,5,3,onet_education,0
25-2022.00,Guru SMP,6,6,4,onet_education,0
29-2032.00,Sonografer,5,5,3,onet_education,0
29-2012.01,Teknisi Histologi,5,5,3,onet_education,0
29-2011.04,Histoteknologis,6,6,4,onet_education,0
29-2011.01,Teknolog Sitogenetika,6,6,4,onet_education,0
29-2011.00,Ahli Teknologi Laboratorium Medik,6,6,4,onet_education,0
29-1292.00,Terapis Gigi dan Mulut,5,5,3,onet_education,0
27-1026.00,Penata Etalase / Visual Merchandiser,5,5,3,onet_education,0
27-1025.00,Interior Designer,6,6,4,onet_education,0
27-1024.00,Graphic Designer,6,6,4,onet_education,0
25-1122.00,Dosen Ilmu Komunikasi,7,7,5,onet_education,0
25-1121.00,Dosen Seni,7,7,5,onet_education,0
25-3011.00,Guru Pendidikan Kesetaraan,6,6,4,onet_education,0
25-2058.00,Guru SMA Pendidikan Khusus,6,6,4,onet_education,0
25-2057.00,Guru SMP Pendidikan Khusus,6,6,4,onet_education,0
25-2032.00,Guru SMK,6,6,4,onet_education,0
25-2056.00,Guru SD Pendidikan Khusus,6,6,4,onet_education,0
25-2031.00,Guru SMA,6,6,4,onet_education,0
25-2055.00,Guru TK Pendidikan Khusus,6,6,4,job_zone,0
25-1194.00,Instruktur Pendidikan Vokasi,5,5,3,onet_education,0
29-1129.01,Terapis Seni,7,7,5,onet_education,0
25-2011.00,Guru PAUD,5,5,3,onet_education,0
25-2021.00,Guru SD,6,6,4,onet_education,0
29-1128.00,Fisiolog Olahraga,6,6,4,onet_education,0
25-2023.00,Guru Prakarya/Keterampilan SMP,6,6,4,onet_education,0
29-1218.00,Dokter Spesialis Obstetri dan Ginekologi,7,8,5,onet_education,1
15-1253.00,QA Engineer / Software Tester,5,6,4,onet_education,1
15-1252.00,Backend Developer,5,6,4,onet_education,1
25-1123.00,Dosen Sastra dan Pendidikan Bahasa Inggris,7,8,5,onet_education,1
29-2012.00,Ahli Teknologi Laboratorium Medik (Jenjang Teknisi),5,6,3,onet_education,1
29-1217.00,Dokter Spesialis Saraf,7,8,5,onet_education,1
27-2041.00,Music Director dan Komposer,6,7,4,onet_education,1
15-1221.00,NLP Engineer,6,7,5,onet_education,1
29-1221.00,Dokter Spesialis Anak,7,8,5,onet_education,1
29-1222.00,Dokter Spesialis Patologi,7,8,5,onet_education,1
29-1224.00,Dokter Spesialis Radiologi,7,8,5,onet_education,1
29-1223.00,Dokter Spesialis Jiwa,7,8,5,onet_education,1
15-2051.01,Data Analyst,5,6,4,onet_education,1
29-1051.00,Apoteker,7,8,5,onet_education,1
29-1024.00,Dokter Gigi Spesialis Prostodonsia,7,8,5,onet_education,1
29-1023.00,Dokter Gigi Spesialis Ortodonti,7,8,5,onet_education,1
