soc_code,onet_title,name_id,name_alt,relevance,note,sectors,job_zone,riasec_top,description
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Buyer,Merchandiser;Category Buyer,umum,Di e-commerce Indonesia perannya sering menyatu dengan Category Manager/Merchandiser,E-commerce & Perdagangan,3,E,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize pay"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Purchasing Officer,Staff Purchasing;Procurement Officer,umum,,E-commerce & Perdagangan,4,C,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts."
13-1032.00,"Insurance Appraisers, Auto Damage",Surveyor Klaim Kendaraan (Asuransi),Adjuster Klaim Mobil;Estimator Kerusakan Kendaraan,umum,,Perbankan & Fintech,3,C,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
13-1041.00,Compliance Officers,Compliance Officer,Petugas Kepatuhan,umum,,Perbankan & Fintech,4,C,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
13-1041.01,Environmental Compliance Inspectors,Inspektur Kepatuhan Lingkungan,,tidak_relevan,"Peran terkait regulasi lingkungan (mirip EPA AS), tidak spesifik ke sektor perbankan/fintech Indonesia.",Perbankan & Fintech,4,C,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."
13-1041.03,Equal Opportunity Representatives and Officers,Petugas Kesetaraan Kesempatan Kerja,,tidak_relevan,Terikat kerangka hukum antidiskriminasi AS (EEOC); belum lazim sebagai jabatan mandiri di Indonesia.,Perbankan & Fintech,4,E,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
13-1041.04,Government Property Inspectors and Investigators,Inspektur Properti Pemerintah,,tidak_relevan,"Peran pengawasan aset pemerintah khas AS, tidak terkait perbankan/fintech.",Perbankan & Fintech,3,C,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.
13-1041.07,Regulatory Affairs Specialists,Spesialis Urusan Regulasi,Regulatory Affairs Officer,terbatas,Lebih umum dipakai di sektor farmasi/kesehatan; di perbankan fungsi ini biasanya melebur ke Compliance Officer.,Perbankan & Fintech,4,C,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies."
13-1041.08,Customs Brokers,Pengusaha Pengurusan Jasa Kepabeanan (PPJK),Customs Broker,tidak_relevan,"Profesi kepabeanan/logistik, bukan peran perbankan atau fintech.",E-commerce & Perdagangan,3,C,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs o
13-1081.00,Logisticians,Supply Chain Analyst,Logistics Specialist;Staff Logistik Senior,umum,,E-commerce & Perdagangan,4,C,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
13-1081.01,Logistics Engineers,Logistics Engineer,Insinyur Logistik,terbatas,"Perlu verifikasi; peran spesifik ini jarang jadi titel tersendiri di Indonesia, biasanya melebur ke Supply Chain Analyst/Engineer",E-commerce & Perdagangan,4,C,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management."
13-1081.02,Logistics Analysts,Supply Chain Analyst,Logistics Analyst,umum,,E-commerce & Perdagangan,4,C,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."
13-1161.00,Market Research Analysts and Marketing Specialists,Marketing Specialist,Market Research Analyst;Riset Pasar,umum,,E-commerce & Perdagangan,4,E,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ searc"
13-1161.01,Search Marketing Strategists,SEO/SEM Specialist,Search Marketing Strategist;Digital Marketing Specialist,umum,,E-commerce & Perdagangan,4,E,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to underst"
13-2011.00,Accountants and Auditors,Akuntan / Auditor,Akuntan Publik;Internal Auditor,umum,,Perbankan & Fintech,4,C,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
13-2022.00,Appraisers of Personal and Business Property,Penilai Aset Pribadi & Bisnis (Non-Properti),Appraiser Barang Berharga,terbatas,"Ada, tapi jauh lebih jarang dibanding penilai properti/real estat.",Perbankan & Fintech,4,C,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. May also appraise land."
13-2023.00,Appraisers and Assessors of Real Estate,Penilai Properti (Real Estat),Appraiser Agunan;Penilai Publik,umum,,Perbankan & Fintech,4,C,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules."
13-2031.00,Budget Analysts,Analis Anggaran,Budget Analyst,umum,,Perbankan & Fintech,4,C,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports."
13-2041.00,Credit Analysts,Analis Kredit,Credit Analyst,umum,,Perbankan & Fintech,4,C,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.
13-2051.00,Financial and Investment Analysts,Analis Keuangan & Investasi,Financial Analyst;Investment Analyst,umum,,Perbankan & Fintech,4,C,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses."
13-2052.00,Personal Financial Advisors,Perencana Keuangan,Financial Advisor;Wealth Manager,umum,,Perbankan & Fintech,4,E,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial asset"
13-2053.00,Insurance Underwriters,Underwriter Asuransi,Insurance Underwriter,umum,,Perbankan & Fintech|Kreatif & Media Digital,4,C,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2054.00,Financial Risk Specialists,Analis Risiko Keuangan,Risk Analyst;Risk Officer,umum,,Perbankan & Fintech,4,C,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk."
13-2061.00,Financial Examiners,Pemeriksa Lembaga Keuangan,Bank Examiner;Pengawas Keuangan,terbatas,"Umumnya jabatan di regulator (OJK/BI), bukan di bank/fintech swasta.",Perbankan & Fintech,4,C,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071.00,Credit Counselors,Konselor/Konsultan Pengelolaan Utang,Credit Counselor,terbatas,Belum lazim sebagai profesi formal berdiri sendiri; fungsi serupa ada pada layanan edukasi keuangan OJK atau lembaga bantuan utang.,Perbankan & Fintech,4,C,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide b"
13-2072.00,Loan Officers,Account Officer,Loan Officer;Petugas Kredit,umum,,Perbankan & Fintech,4,C,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers."
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Pemeriksa dan Juru Sita Pajak,Petugas Pajak,terbatas,"Padanan ada di DJP (instansi pajak pemerintah), bukan peran di bank/fintech swasta.",Perbankan & Fintech,3,C,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082.00,Tax Preparers,Penyusun SPT Pajak (Musiman),Tax Preparer,tidak_relevan,Model bisnis 'tax preparer' musiman khas AS; di Indonesia peran serupa umumnya masuk 'Konsultan Pajak' dengan sistem sertifikasi berbeda (perlu verifikasi detail).,Perbankan & Fintech,3,C,Prepare tax returns for individuals or small businesses.
13-2099.00,"Financial Specialists, All Other",Spesialis Keuangan (Lainnya),,terbatas,Kategori catch-all O*NET tanpa deskripsi spesifik.,Perbankan & Fintech,,,All financial specialists not listed separately.
13-2099.01,Financial Quantitative Analysts,Analis Kuantitatif Keuangan,Quant Analyst,terbatas,"Ada di bank besar, sekuritas, dan fintech, tapi jumlah posisi masih relatif sedikit.",Perbankan & Fintech,5,I,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis."
13-2099.04,"Fraud Examiners, Investigators and Analysts",Analis/Investigator Fraud,Fraud Analyst;Fraud Investigator,umum,,Perbankan & Fintech,4,C,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."
15-1211.00,Computer Systems Analysts,System Analyst,IT Analyst,umum,,Teknologi Informasi,4,I,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review compu"
15-1211.01,Health Informatics Specialists,Health Informatics Specialist,Spesialis Informatika Kesehatan; SIMRS Specialist,terbatas,"Niche, terkait pengembangan/pemeliharaan sistem informasi rumah sakit (SIMRS); belum jadi judul lowongan umum.",Teknologi Informasi,5,I,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system."
15-1212.00,Information Security Analysts,Cyber Security Analyst,Information Security Analyst; Security Analyst,umum,,Teknologi Informasi,4,C,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital fil"
15-1221.00,Computer and Information Research Scientists,Research Scientist (Ilmu Komputer),AI Researcher; Peneliti Ilmu Komputer,terbatas,"Lebih umum di lingkungan riset/akademia/lab AI besar (mis. Bukalapak AI, Nodeflux, universitas) daripada sbg judul lowongan industri umum.",Teknologi Informasi,5,I,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
15-1231.00,Computer Network Support Specialists,Network Support Specialist,IT Support Jaringan; Network Technician,umum,,Teknologi Informasi,4,C,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption."
15-1232.00,Computer User Support Specialists,IT Support,Helpdesk; Technical Support,umum,,Teknologi Informasi,3,C,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and "
15-1241.00,Computer Network Architects,Network Engineer,Network Architect; Network Administrator,umum,Di Indonesia peran 'Network Architect' senior sering digabung dgn Network Engineer.,Teknologi Informasi,4,I,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May a"
15-1241.01,Telecommunications Engineering Specialists,Telecommunications Engineer,Telecom Engineer; RF Engineer; Network Planning Engineer,terbatas,"Cakupan O*NET ini (wired/wireless/satelit) di pasar Indonesia biasanya terpecah jadi peran lebih spesifik (RF Engineer, Network Planning Engineer) di industri telko/ISP.",Teknologi Informasi,3,C,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance."
15-1242.00,Database Administrators,Database Administrator (DBA),,umum,,Teknologi Informasi,4,C,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security m"
15-1243.00,Database Architects,Database Architect,Data Architect,terbatas,"Perlu verifikasi: peran ini sering melebur dgn Data Architect atau DBA senior, jarang jadi judul lowongan tersendiri.",Teknologi Informasi,4,C,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for wareho"
15-1243.01,Data Warehousing Specialists,Data Warehouse Engineer,ETL Developer; Data Engineer,terbatas,"Di Indonesia cakupan ini umumnya masuk ke peran Data Engineer, bukan judul tersendiri.",Teknologi Informasi,4,C,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users."
15-1244.00,Network and Computer Systems Administrators,System Administrator,Network Administrator; Sysadmin,umum,,Teknologi Informasi,4,C,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and s"
15-1251.00,Computer Programmers,Programmer,Software Developer,umum,Batas dgn Software Developer tipis; dua istilah sering dipakai bergantian di lowongan Indonesia.,Teknologi Informasi,4,C,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
15-1252.00,Software Developers,Software Developer,Software Engineer; Programmer,umum,,Teknologi Informasi,4,I,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. M"
15-1253.00,Software Quality Assurance Analysts and Testers,QA Engineer,Quality Assurance Engineer; Software Tester,umum,,Teknologi Informasi,4,I,Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known d
15-1254.00,Web Developers,Web Developer,Frontend Developer; Backend Developer; Fullstack Developer,umum,,Teknologi Informasi,3,C,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and "
15-1255.00,Web and Digital Interface Designers,UI/UX Designer,Web Designer; Product Designer,umum,,Teknologi Informasi|Kreatif & Media Digital,4,I,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web "
15-1255.01,Video Game Designers,Game Designer,Game Developer,terbatas,"Industri game Indonesia ada (mis. Agate, Toge Productions, Digital Happiness) tapi jauh lebih kecil dibanding software dev umum.",Teknologi Informasi|Kreatif & Media Digital,4,A,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed."
15-1299.00,"Computer Occupations, All Other",Profesi Teknologi Informasi Lainnya,,tidak_relevan,"Kategori catch-all O*NET, bukan nama jabatan yang dipakai di lowongan kerja Indonesia.",Teknologi Informasi,,,All computer occupations not listed separately.
15-1299.01,Web Administrators,Web Administrator,System Administrator (Web); DevOps,terbatas,Jarang berdiri sendiri; umumnya digabung ke Sysadmin atau DevOps Engineer.,Teknologi Informasi,4,C,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications."
15-1299.02,Geographic Information Systems Technologists and Technicians,GIS Analyst,GIS Specialist; GIS Technician; Surveyor Pemetaan,terbatas,"Niche, banyak dipakai di sektor pertambangan, perkebunan, dan pemerintahan (BIG/BPN).",Teknologi Informasi,3,C,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support."
15-1299.03,Document Management Specialists,Document Controller,Records Management Specialist; Document Management Specialist,terbatas,Perlu verifikasi: istilah 'Document Controller' lebih lazim dipakai di Indonesia (konstruksi/EPC/manufaktur) dibanding cakupan sistem manajemen dokumen enterprise pada deskripsi O*NET ini.,Teknologi Informasi,4,C,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents."
15-1299.04,Penetration Testers,Penetration Tester,Pentester; Ethical Hacker,terbatas,"Niche di dalam bidang keamanan siber, permintaan berkembang tapi masih jauh lebih sedikit dibanding Security Analyst/Engineer umum.",Teknologi Informasi,4,I,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.
15-1299.05,Information Security Engineers,Security Engineer,Cyber Security Engineer; Information Security Engineer,umum,,Teknologi Informasi,4,C,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to i"
15-1299.06,Digital Forensics Analysts,Digital Forensics Analyst,Forensika Digital; Cyber Forensics Analyst,terbatas,"Niche, banyak terkait lembaga penegak hukum/Polri/BSSN selain sektor swasta.",Teknologi Informasi,4,I,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnera"
15-1299.07,Blockchain Engineers,Blockchain Engineer,Web3 Developer; Smart Contract Developer,terbatas,"Niche, terkonsentrasi di startup crypto/web3, permintaan fluktuatif mengikuti tren pasar kripto.",Teknologi Informasi,4,C,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed netwo"
15-1299.08,Computer Systems Engineers/Architects,Solutions Architect,System Architect; IT Architect,umum,,Teknologi Informasi,3,C,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions."
15-1299.09,Information Technology Project Managers,IT Project Manager,,umum,,Teknologi Informasi,4,E,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and "
15-2011.00,Actuaries,Aktuaris,Actuary,umum,,Perbankan & Fintech,4,C,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits."
15-2031.00,Operations Research Analysts,Operations Research Analyst,Data Scientist; Business Analyst,terbatas,"Perlu verifikasi: jarang jadi judul lowongan berdiri sendiri di Indonesia, cakupan kerjanya biasanya melebur ke Data Scientist/Data Analyst.",Teknologi Informasi,5,I,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May d"
15-2041.00,Statisticians,Statistician,Ahli Statistik,terbatas,"Umum di BPS, lembaga riset, dan akademia, tapi bukan judul lowongan lazim di sektor software/startup.",Teknologi Informasi,5,I,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and"
15-2041.01,Biostatisticians,Biostatistician,Ahli Biostatistik,terbatas,"Niche, dipakai di riset klinis/farmasi (CRO), bukan sektor software umum.",Teknologi Informasi,5,I,Develop and apply biostatistical theory and methods to the study of life sciences.
15-2051.00,Data Scientists,Data Scientist,,umum,,Teknologi Informasi,4,I,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze infor"
15-2051.01,Business Intelligence Analysts,BI Analyst,Business Intelligence Analyst; Data Analyst,umum,,Teknologi Informasi,4,C,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.
15-2051.02,Clinical Data Managers,Clinical Data Manager,CDM,terbatas,"Niche di industri farmasi/riset klinis (CRO), bukan sektor software umum.",Teknologi Informasi,4,C,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends."
17-2061.00,Computer Hardware Engineers,Hardware Engineer,Electronics Engineer,terbatas,"Perlu verifikasi: R&D hardware komputer murni jarang di Indonesia, peran ini sering tumpang tindih dgn Embedded/Electronics Engineer.",Teknologi Informasi,4,R,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components."
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Insinyur K3 (HSE Engineer),HSE Engineer;Insinyur Keselamatan Kerja;Health and Safety Engineer,umum,,Energi & Pertambangan,4,I,"Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers."
17-2111.02,Fire-Prevention and Protection Engineers,Insinyur Proteksi Kebakaran,Fire Protection Engineer;Fire Safety Engineer,terbatas,"biasanya melebur ke fungsi HSE umum di perusahaan migas/tambang, jarang jadi jabatan terpisah",Energi & Pertambangan,4,R,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards."
