soc_code,attribute_code,layer,score,rank_in_layer,is_dominant,dna_source
11-1011.03,SKL_KOMUNIKASI,SKILL,73.07,6,False,onet
11-1011.03,SKL_KEPUTUSAN,SKILL,72.86,7,False,onet
11-1011.03,SKL_BELAJAR,SKILL,71.13,8,False,onet
11-1011.03,SKL_KEPEMIMPINAN,SKILL,69.68,9,False,onet
11-1011.03,SKL_WAKTU,SKILL,65.86,10,False,onet
11-1011.03,SKL_PRESENTASI,SKILL,64.03,11,False,onet
11-1011.03,SKL_EMPATI,SKILL,63.04,12,False,onet
11-1011.03,SKL_PERENCANAAN,SKILL,54.34,13,False,onet
11-1011.03,SKL_ADAPTABILITAS,SKILL,53.41,14,False,onet
11-1011.03,SKL_NUMERIK,SKILL,47.56,15,False,onet
11-1011.03,SKL_KETELITIAN,SKILL,28.54,16,False,onet
11-1011.03,ENV_KANTOR,ENVIRONMENT,88.76,1,True,onet
11-1011.03,ENV_HYBRID,ENVIRONMENT,87.65,2,True,rule
11-1011.03,ENV_REMOTE,ENVIRONMENT,84.94,3,True,rule
11-1011.03,ENV_SEKOLAH,ENVIRONMENT,57.95,4,False,onet
11-1011.03,ENV_ONSITE,ENVIRONMENT,30.25,5,False,onet
11-1011.03,ENV_LAB,ENVIRONMENT,19.63,6,False,onet
11-1011.03,ENV_RS,ENVIRONMENT,18.79,7,False,onet
11-1011.03,ENV_PABRIK,ENVIRONMENT,12.85,8,False,onet
11-1011.03,WSY_DETAIL,WORKSTYLE,85.4,1,True,inherited:19-2041.00
11-1011.03,WSY_DINAMIS,WORKSTYLE,79.0,2,True,inherited:19-2041.00
11-1011.03,WSY_TERSTRUKTUR,WORKSTYLE,77.96,3,False,inherited:19-2041.00
11-1011.03,WSY_KOLABORATIF,WORKSTYLE,62.39,4,False,inherited:19-2041.00
11-1011.03,WSY_MANDIRI,WORKSTYLE,60.29,5,False,inherited:19-2041.00
11-1011.03,WSY_TARGET,WORKSTYLE,60.25,6,False,inherited:19-2041.00
11-1011.03,WSY_BERUBAH,WORKSTYLE,54.36,7,False,inherited:19-2041.00
11-1011.03,WSY_PELAYANAN,WORKSTYLE,42.03,8,False,inherited:19-2041.00
11-1021.00,INT_BISNIS,INTEREST,100.0,1,True,onet
11-1021.00,INT_SOSIAL,INTEREST,48.56,2,True,onet
11-1021.00,INT_KEUANGAN,INTEREST,47.17,3,True,onet
11-1021.00,INT_HUKUM,INTEREST,18.17,4,False,onet
11-1021.00,INT_RISET,INTEREST,15.17,5,False,onet
11-1021.00,INT_KREATIVITAS,INTEREST,14.76,6,False,onet
11-1021.00,INT_TEKNOLOGI,INTEREST,14.75,7,False,onet
11-1021.00,INT_PENDIDIKAN,INTEREST,12.5,8,False,onet
11-1021.00,INT_KESEHATAN,INTEREST,11.58,9,False,onet
11-1021.00,INT_LINGKUNGAN,INTEREST,5.0,10,False,onet
11-1021.00,ACT_PROBLEM,ACTIVITY,88.28,1,True,onet
11-1021.00,ACT_MEMBANGUN,ACTIVITY,85.56,2,True,onet
11-1021.00,ACT_MEMIMPIN,ACTIVITY,83.07,3,True,onet
11-1021.00,ACT_KOMUNIKASI,ACTIVITY,77.15,4,True,onet
11-1021.00,ACT_OPERASIONAL,ACTIVITY,76.99,5,False,onet
11-1021.00,ACT_ANALISA,ACTIVITY,76.19,6,False,onet
11-1021.00,ACT_MENGAJAR,ACTIVITY,76.01,7,False,onet
11-1021.00,ACT_MENJUAL,ACTIVITY,74.28,8,False,onet
11-1021.00,ACT_QC,ACTIVITY,68.72,9,False,onet
11-1021.00,ACT_DESAIN,ACTIVITY,62.16,10,False,onet
11-1021.00,ACT_RISET,ACTIVITY,61.92,11,False,onet
11-1021.00,ACT_MEMBANTU,ACTIVITY,40.48,12,False,onet
11-1021.00,SKL_KEPEMIMPINAN,SKILL,88.06,1,True,onet
11-1021.00,SKL_WAKTU,SKILL,80.97,2,True,onet
11-1021.00,SKL_ADAPTABILITAS,SKILL,80.37,3,True,onet
11-1021.00,SKL_KOLABORASI,SKILL,78.71,4,True,onet
11-1021.00,SKL_NEGOSIASI,SKILL,76.64,5,True,onet
11-1021.00,SKL_PERENCANAAN,SKILL,76.56,6,False,onet
11-1021.00,SKL_CRITICAL,SKILL,68.58,7,False,onet
11-1021.00,SKL_KOMUNIKASI,SKILL,67.79,8,False,onet
11-1021.00,SKL_KEPUTUSAN,SKILL,67.78,9,False,onet
11-1021.00,SKL_LOGIKA,SKILL,66.54,10,False,onet
11-1021.00,SKL_BELAJAR,SKILL,60.02,11,False,onet
11-1021.00,SKL_PRESENTASI,SKILL,59.17,12,False,onet
11-1021.00,SKL_KREATIVITAS,SKILL,57.22,13,False,onet
11-1021.00,SKL_EMPATI,SKILL,56.36,14,False,onet
11-1021.00,SKL_NUMERIK,SKILL,46.48,15,False,onet
11-1021.00,SKL_KETELITIAN,SKILL,40.46,16,False,onet
11-1021.00,ENV_HYBRID,ENVIRONMENT,83.82,1,True,rule
11-1021.00,ENV_KANTOR,ENVIRONMENT,77.63,2,True,onet
11-1021.00,ENV_REMOTE,ENVIRONMENT,76.81,3,True,rule
11-1021.00,ENV_SEKOLAH,ENVIRONMENT,47.99,4,False,onet
11-1021.00,ENV_ONSITE,ENVIRONMENT,45.75,5,False,onet
11-1021.00,ENV_RS,ENVIRONMENT,24.87,6,False,onet
11-1021.00,ENV_PABRIK,ENVIRONMENT,16.19,7,False,onet
11-1021.00,ENV_LAB,ENVIRONMENT,11.7,8,False,onet
11-1021.00,WSY_MANDIRI,WORKSTYLE,87.32,1,True,onet
11-1021.00,WSY_TARGET,WORKSTYLE,76.63,2,True,onet
11-1021.00,WSY_DINAMIS,WORKSTYLE,74.52,3,False,onet
11-1021.00,WSY_KOLABORATIF,WORKSTYLE,72.64,4,False,onet
11-1021.00,WSY_BERUBAH,WORKSTYLE,68.9,5,False,onet
11-1021.00,WSY_TERSTRUKTUR,WORKSTYLE,58.75,6,False,onet
11-1021.00,WSY_DETAIL,WORKSTYLE,44.25,7,False,onet
11-1021.00,WSY_PELAYANAN,WORKSTYLE,41.72,8,False,onet
11-1031.00,INT_HUKUM,INTEREST,100.0,1,True,onet
11-1031.00,INT_BISNIS,INTEREST,89.69,2,True,onet
11-1031.00,INT_RISET,INTEREST,40.62,3,True,onet
11-1031.00,INT_SOSIAL,INTEREST,33.67,4,False,onet
11-1031.00,INT_KREATIVITAS,INTEREST,30.26,5,False,onet
11-1031.00,INT_KEUANGAN,INTEREST,27.52,6,False,onet
11-1031.00,INT_PENDIDIKAN,INTEREST,18.17,7,False,onet
11-1031.00,INT_KESEHATAN,INTEREST,5.0,8,False,onet
11-1031.00,INT_LINGKUNGAN,INTEREST,4.28,9,False,onet
11-1031.00,INT_TEKNOLOGI,INTEREST,2.95,10,False,onet
11-1031.00,ACT_MEMIMPIN,ACTIVITY,100.0,1,True,inherited:11-1011.00
11-1031.00,ACT_MENGAJAR,ACTIVITY,99.13,2,True,inherited:11-1011.00
11-1031.00,ACT_KOMUNIKASI,ACTIVITY,97.64,3,True,inherited:11-1011.00
11-1031.00,ACT_PROBLEM,ACTIVITY,97.15,4,True,inherited:11-1011.00
11-1031.00,ACT_MENJUAL,ACTIVITY,92.13,5,False,inherited:11-1011.00
11-1031.00,ACT_OPERASIONAL,ACTIVITY,90.79,6,False,inherited:11-1011.00
11-1031.00,ACT_QC,ACTIVITY,84.79,7,False,inherited:11-1011.00
11-1031.00,ACT_ANALISA,ACTIVITY,83.38,8,False,inherited:11-1011.00
11-1031.00,ACT_DESAIN,ACTIVITY,80.78,9,False,inherited:11-1011.00
11-1031.00,ACT_RISET,ACTIVITY,80.07,10,False,inherited:11-1011.00
11-1031.00,ACT_MEMBANGUN,ACTIVITY,77.5,11,False,inherited:11-1011.00
11-1031.00,ACT_MEMBANTU,ACTIVITY,72.19,12,False,inherited:11-1011.00
11-1031.00,SKL_KEPEMIMPINAN,SKILL,100.0,1,True,onet
11-1031.00,SKL_ADAPTABILITAS,SKILL,99.64,2,True,onet
11-1031.00,SKL_KOLABORASI,SKILL,88.79,3,True,onet
11-1031.00,SKL_BELAJAR,SKILL,82.78,4,True,onet
11-1031.00,SKL_WAKTU,SKILL,82.09,5,True,onet
11-1031.00,SKL_KREATIVITAS,SKILL,74.8,6,False,onet
11-1031.00,SKL_EMPATI,SKILL,63.61,7,False,onet
11-1031.00,SKL_KETELITIAN,SKILL,30.91,8,False,onet
11-1031.00,ENV_HYBRID,ENVIRONMENT,94.34,1,True,inherited:11-1011.00
11-1031.00,ENV_KANTOR,ENVIRONMENT,91.7,2,True,inherited:11-1011.00
11-1031.00,ENV_REMOTE,ENVIRONMENT,85.95,3,True,inherited:11-1011.00
11-1031.00,ENV_SEKOLAH,ENVIRONMENT,65.7,4,False,inherited:11-1011.00
11-1031.00,ENV_RS,ENVIRONMENT,30.97,5,False,inherited:11-1011.00
11-1031.00,ENV_ONSITE,ENVIRONMENT,26.77,6,False,inherited:11-1011.00
11-1031.00,ENV_PABRIK,ENVIRONMENT,19.36,7,False,inherited:11-1011.00
11-1031.00,ENV_LAB,ENVIRONMENT,10.64,8,False,inherited:11-1011.00
11-1031.00,WSY_MANDIRI,WORKSTYLE,90.26,1,True,onet
11-1031.00,WSY_KOLABORATIF,WORKSTYLE,86.54,2,True,onet
11-1031.00,WSY_BERUBAH,WORKSTYLE,82.96,3,False,onet
11-1031.00,WSY_DINAMIS,WORKSTYLE,82.2,4,False,onet
11-1031.00,WSY_TARGET,WORKSTYLE,77.48,5,False,onet
11-1031.00,WSY_PELAYANAN,WORKSTYLE,52.07,6,False,onet
11-1031.00,WSY_TERSTRUKTUR,WORKSTYLE,51.36,7,False,onet
11-1031.00,WSY_DETAIL,WORKSTYLE,32.3,8,False,onet
11-2011.00,INT_BISNIS,INTEREST,100.0,1,True,onet
11-2011.00,INT_KREATIVITAS,INTEREST,68.38,2,True,onet
11-2011.00,INT_KEUANGAN,INTEREST,23.67,3,True,onet
11-2011.00,INT_RISET,INTEREST,17.56,4,False,onet
11-2011.00,INT_HUKUM,INTEREST,14.5,5,False,onet
11-2011.00,INT_SOSIAL,INTEREST,13.8,6,False,onet
11-2011.00,INT_TEKNOLOGI,INTEREST,12.67,7,False,onet
11-2011.00,INT_PENDIDIKAN,INTEREST,11.0,8,False,onet
11-2011.00,INT_KESEHATAN,INTEREST,2.9,9,False,onet
11-2011.00,INT_LINGKUNGAN,INTEREST,0.0,10,False,onet
11-2011.00,ACT_MEMBANGUN,ACTIVITY,89.72,1,True,onet
11-2011.00,ACT_KOMUNIKASI,ACTIVITY,83.09,2,True,onet
11-2011.00,ACT_OPERASIONAL,ACTIVITY,75.73,3,True,onet
11-2011.00,ACT_DESAIN,ACTIVITY,72.67,4,True,onet
11-2011.00,ACT_ANALISA,ACTIVITY,71.43,5,False,onet
11-2011.00,ACT_MENJUAL,ACTIVITY,64.48,6,False,onet
11-2011.00,ACT_RISET,ACTIVITY,61.21,7,False,onet
11-2011.00,ACT_PROBLEM,ACTIVITY,60.48,8,False,onet
11-2011.00,ACT_MEMIMPIN,ACTIVITY,59.04,9,False,onet
11-2011.00,ACT_MEMBANTU,ACTIVITY,52.17,10,False,onet
11-2011.00,ACT_MENGAJAR,ACTIVITY,39.12,11,False,onet
11-2011.00,ACT_QC,ACTIVITY,25.61,12,False,onet
11-2011.00,SKL_ADAPTABILITAS,SKILL,82.43,1,True,onet
11-2011.00,SKL_KOLABORASI,SKILL,77.39,2,True,onet
11-2011.00,SKL_KREATIVITAS,SKILL,76.9,3,True,onet
11-2011.00,SKL_KOMUNIKASI,SKILL,73.41,4,True,onet
11-2011.00,SKL_KEPEMIMPINAN,SKILL,71.38,5,True,onet
11-2011.00,SKL_KEPUTUSAN,SKILL,70.32,6,False,onet
11-2011.00,SKL_LOGIKA,SKILL,69.18,7,False,onet
11-2011.00,SKL_CRITICAL,SKILL,68.45,8,False,onet
11-2011.00,SKL_WAKTU,SKILL,65.25,9,False,onet
11-2011.00,SKL_NEGOSIASI,SKILL,64.6,10,False,onet
11-2011.00,SKL_PRESENTASI,SKILL,63.78,11,False,onet
11-2011.00,SKL_PERENCANAAN,SKILL,61.09,12,False,onet
11-2011.00,SKL_EMPATI,SKILL,54.9,13,False,onet
11-2011.00,SKL_BELAJAR,SKILL,54.7,14,False,onet
11-2011.00,SKL_NUMERIK,SKILL,50.64,15,False,onet
11-2011.00,SKL_KETELITIAN,SKILL,40.18,16,False,onet
11-2011.00,ENV_HYBRID,ENVIRONMENT,94.55,1,True,rule
11-2011.00,ENV_KANTOR,ENVIRONMENT,91.54,2,True,onet
11-2011.00,ENV_REMOTE,ENVIRONMENT,88.55,3,True,rule
11-2011.00,ENV_SEKOLAH,ENVIRONMENT,39.06,4,False,onet
11-2011.00,ENV_ONSITE,ENVIRONMENT,27.26,5,False,onet
11-2011.00,ENV_PABRIK,ENVIRONMENT,16.56,6,False,onet
11-2011.00,ENV_RS,ENVIRONMENT,13.46,7,False,onet
11-2011.00,ENV_LAB,ENVIRONMENT,10.74,8,False,onet
11-2011.00,WSY_DINAMIS,WORKSTYLE,87.47,1,True,onet
11-2011.00,WSY_MANDIRI,WORKSTYLE,81.8,2,True,onet
11-2011.00,WSY_KOLABORATIF,WORKSTYLE,79.64,3,False,onet
11-2011.00,WSY_TARGET,WORKSTYLE,67.69,4,False,onet
11-2011.00,WSY_BERUBAH,WORKSTYLE,66.72,5,False,onet
11-2011.00,WSY_DETAIL,WORKSTYLE,49.56,6,False,onet
11-2011.00,WSY_TERSTRUKTUR,WORKSTYLE,36.23,7,False,onet
11-2011.00,WSY_PELAYANAN,WORKSTYLE,31.67,8,False,onet
11-2021.00,INT_BISNIS,INTEREST,95.9,1,True,onet
11-2021.00,INT_KEUANGAN,INTEREST,33.85,2,True,onet
11-2021.00,INT_KREATIVITAS,INTEREST,30.77,3,True,onet
11-2021.00,INT_SOSIAL,INTEREST,28.01,4,False,onet
11-2021.00,INT_RISET,INTEREST,26.83,5,False,onet
11-2021.00,INT_TEKNOLOGI,INTEREST,17.53,6,False,onet
11-2021.00,INT_HUKUM,INTEREST,16.13,7,False,onet
11-2021.00,INT_PENDIDIKAN,INTEREST,8.5,8,False,onet
11-2021.00,INT_KESEHATAN,INTEREST,2.39,9,False,onet
11-2021.00,INT_LINGKUNGAN,INTEREST,0.17,10,False,onet
11-2021.00,ACT_KOMUNIKASI,ACTIVITY,92.95,1,True,onet
11-2021.00,ACT_MEMBANGUN,ACTIVITY,83.89,2,True,onet
11-2021.00,ACT_OPERASIONAL,ACTIVITY,83.26,3,True,onet
11-2021.00,ACT_MEMIMPIN,ACTIVITY,82.19,4,True,onet
11-2021.00,ACT_MENJUAL,ACTIVITY,81.69,5,False,onet
11-2021.00,ACT_DESAIN,ACTIVITY,79.58,6,False,onet
11-2021.00,ACT_PROBLEM,ACTIVITY,78.99,7,False,onet
11-2021.00,ACT_ANALISA,ACTIVITY,75.13,8,False,onet
11-2021.00,ACT_RISET,ACTIVITY,68.57,9,False,onet
11-2021.00,ACT_MENGAJAR,ACTIVITY,60.12,10,False,onet
11-2021.00,ACT_QC,ACTIVITY,44.3,11,False,onet
11-2021.00,ACT_MEMBANTU,ACTIVITY,41.88,12,False,onet
11-2021.00,SKL_ADAPTABILITAS,SKILL,82.04,1,True,onet
11-2021.00,SKL_NEGOSIASI,SKILL,81.58,2,True,onet
11-2021.00,SKL_LOGIKA,SKILL,79.82,3,True,onet
11-2021.00,SKL_KREATIVITAS,SKILL,75.67,4,True,onet
11-2021.00,SKL_KEPEMIMPINAN,SKILL,73.1,5,True,onet
11-2021.00,SKL_KOLABORASI,SKILL,70.64,6,False,onet
11-2021.00,SKL_KEPUTUSAN,SKILL,70.32,7,False,onet
11-2021.00,SKL_BELAJAR,SKILL,70.07,8,False,onet
11-2021.00,SKL_CRITICAL,SKILL,68.58,9,False,onet
11-2021.00,SKL_PRESENTASI,SKILL,66.6,10,False,onet
11-2021.00,SKL_PERENCANAAN,SKILL,64.03,11,False,onet
11-2021.00,SKL_KOMUNIKASI,SKILL,63.44,12,False,onet
11-2021.00,SKL_WAKTU,SKILL,62.97,13,False,onet
11-2021.00,SKL_EMPATI,SKILL,54.55,14,False,onet
11-2021.00,SKL_NUMERIK,SKILL,51.77,15,False,onet
11-2021.00,SKL_KETELITIAN,SKILL,37.79,16,False,onet
11-2021.00,ENV_HYBRID,ENVIRONMENT,91.76,1,True,rule
11-2021.00,ENV_KANTOR,ENVIRONMENT,91.03,2,True,onet
11-2021.00,ENV_REMOTE,ENVIRONMENT,88.09,3,True,rule
11-2021.00,ENV_SEKOLAH,ENVIRONMENT,56.41,4,False,onet
11-2021.00,ENV_ONSITE,ENVIRONMENT,19.94,5,False,onet
11-2021.00,ENV_LAB,ENVIRONMENT,16.87,6,False,onet
11-2021.00,ENV_PABRIK,ENVIRONMENT,16.01,7,False,onet
11-2021.00,ENV_RS,ENVIRONMENT,14.95,8,False,onet
11-2021.00,WSY_DINAMIS,WORKSTYLE,87.47,1,True,onet
11-2021.00,WSY_MANDIRI,WORKSTYLE,82.35,2,True,onet
11-2021.00,WSY_TARGET,WORKSTYLE,70.82,3,False,onet
11-2021.00,WSY_KOLABORATIF,WORKSTYLE,70.41,4,False,onet
11-2021.00,WSY_BERUBAH,WORKSTYLE,69.7,5,False,onet
11-2021.00,WSY_DETAIL,WORKSTYLE,38.94,6,False,onet
11-2021.00,WSY_TERSTRUKTUR,WORKSTYLE,38.24,7,False,onet
11-2021.00,WSY_PELAYANAN,WORKSTYLE,33.98,8,False,onet
11-2022.00,INT_BISNIS,INTEREST,95.38,1,True,onet
11-2022.00,INT_SOSIAL,INTEREST,40.41,2,True,onet
11-2022.00,INT_KEUANGAN,INTEREST,39.33,3,True,onet
11-2022.00,INT_PENDIDIKAN,INTEREST,19.67,4,False,onet
11-2022.00,INT_RISET,INTEREST,12.17,5,False,onet
11-2022.00,INT_TEKNOLOGI,INTEREST,9.54,6,False,onet
11-2022.00,INT_KREATIVITAS,INTEREST,7.86,7,False,onet
11-2022.00,INT_HUKUM,INTEREST,7.17,8,False,onet
11-2022.00,INT_KESEHATAN,INTEREST,2.18,9,False,onet
11-2022.00,INT_LINGKUNGAN,INTEREST,0.67,10,False,onet
11-2022.00,ACT_MEMIMPIN,ACTIVITY,98.62,1,True,onet
11-2022.00,ACT_MENJUAL,ACTIVITY,97.81,2,True,onet
11-2022.00,ACT_KOMUNIKASI,ACTIVITY,94.09,3,True,onet
11-2022.00,ACT_MENGAJAR,ACTIVITY,93.06,4,True,onet
11-2022.00,ACT_PROBLEM,ACTIVITY,90.23,5,False,onet
11-2022.00,ACT_MEMBANGUN,ACTIVITY,80.84,6,False,onet
11-2022.00,ACT_OPERASIONAL,ACTIVITY,72.8,7,False,onet
11-2022.00,ACT_ANALISA,ACTIVITY,70.83,8,False,onet
11-2022.00,ACT_RISET,ACTIVITY,67.26,9,False,onet
11-2022.00,ACT_DESAIN,ACTIVITY,66.97,10,False,onet
11-2022.00,ACT_MEMBANTU,ACTIVITY,60.51,11,False,onet
11-2022.00,ACT_QC,ACTIVITY,49.74,12,False,onet
11-2022.00,SKL_NEGOSIASI,SKILL,91.31,1,True,onet
11-2022.00,SKL_KEPEMIMPINAN,SKILL,85.38,2,True,onet
11-2022.00,SKL_KOLABORASI,SKILL,81.74,3,True,onet
11-2022.00,SKL_WAKTU,SKILL,79.64,4,True,onet
11-2022.00,SKL_LOGIKA,SKILL,76.54,5,True,onet
11-2022.00,SKL_PERENCANAAN,SKILL,75.88,6,False,onet
11-2022.00,SKL_ADAPTABILITAS,SKILL,75.7,7,False,onet
11-2022.00,SKL_KEPUTUSAN,SKILL,72.86,8,False,onet
11-2022.00,SKL_CRITICAL,SKILL,71.39,9,False,onet
11-2022.00,SKL_KOMUNIKASI,SKILL,68.81,10,False,onet
11-2022.00,SKL_KREATIVITAS,SKILL,66.95,11,False,onet
11-2022.00,SKL_EMPATI,SKILL,63.59,12,False,onet
11-2022.00,SKL_PRESENTASI,SKILL,61.75,13,False,onet
11-2022.00,SKL_BELAJAR,SKILL,60.42,14,False,onet
11-2022.00,SKL_NUMERIK,SKILL,49.64,15,False,onet
11-2022.00,SKL_KETELITIAN,SKILL,35.51,16,False,onet
11-2022.00,ENV_KANTOR,ENVIRONMENT,88.09,1,True,onet
11-2022.00,ENV_HYBRID,ENVIRONMENT,86.81,2,True,rule
11-2022.00,ENV_REMOTE,ENVIRONMENT,84.64,3,True,rule
11-2022.00,ENV_SEKOLAH,ENVIRONMENT,65.5,4,False,onet
11-2022.00,ENV_ONSITE,ENVIRONMENT,24.29,5,False,onet
11-2022.00,ENV_RS,ENVIRONMENT,23.13,6,False,onet
11-2022.00,ENV_LAB,ENVIRONMENT,10.74,7,False,onet
11-2022.00,ENV_PABRIK,ENVIRONMENT,8.32,8,False,onet
11-2022.00,WSY_MANDIRI,WORKSTYLE,86.76,1,True,onet
11-2022.00,WSY_TARGET,WORKSTYLE,82.84,2,True,onet
11-2022.00,WSY_KOLABORATIF,WORKSTYLE,79.8,3,False,onet
11-2022.00,WSY_DINAMIS,WORKSTYLE,70.77,4,False,onet
11-2022.00,WSY_BERUBAH,WORKSTYLE,67.24,5,False,onet
11-2022.00,WSY_TERSTRUKTUR,WORKSTYLE,44.11,6,False,onet
11-2022.00,WSY_PELAYANAN,WORKSTYLE,43.67,7,False,onet
11-2022.00,WSY_DETAIL,WORKSTYLE,41.15,8,False,onet
11-2032.00,INT_BISNIS,INTEREST,89.42,1,True,onet
11-2032.00,INT_KREATIVITAS,INTEREST,64.79,2,True,onet
11-2032.00,INT_HUKUM,INTEREST,53.0,3,True,onet
